id,domain,language,prompt
113,Impossible,es,Una fogata ardiendo brillantemente bajo el agua en el fondo del océano.
114,Impossible,ar,نار مخيم تشتعل بشكل مشرق تحت الماء في قاع المحيط.
115,Impossible,as,সাগৰৰ তলত পানীৰ তলত উজ্জ্বলকৈ জ্বলি থকা এক কেম্পফায়াৰ।
116,Impossible,en,A city street where the rain is falling upwards towards the sky.
117,Impossible,hi,एक शहर की सड़क जहां बारिश आसमान की ओर ऊपर जा रही है।
118,Impossible,es,"Una calle de la ciudad donde la lluvia cae hacia arriba, hacia el cielo."
119,Impossible,ar,شارع في المدينة حيث يتساقط المطر صعوداً نحو السماء.
120,Impossible,as,এখন চহৰৰ ৰাস্তা য'ত বৰষুণজাক আকাশৰ ফালে ওপৰলৈ গৈ আছে।
121,Impossible,en,A night sky with a moon that is shaped like a square.
122,Impossible,hi,एक रात का आकाश जिसमें एक चंद्रमा है जो चौकोर आकार का है।
123,Impossible,es,Un cielo nocturno con una luna que tiene forma cuadrada.
124,Impossible,ar,سماء ليلية بها قمر مربع الشكل.
125,Impossible,as,এখন নিশাৰ আকাশ য'ত জোনটো বৰ্গাকৃতিৰ।
126,Geometry,en,A photograph of a perfectly triangular window on a building.
127,Geometry,hi,इमारत पर एक पूरी तरह से त्रिकोणीय खिड़की की तस्वीर।
128,Geometry,es,Una fotografía de una ventana perfectamente triangular en un edificio.
129,Geometry,ar,صورة لنافذة مثلثة تماماً على مبنى.
130,Geometry,as,অট্টালিকা এটাত এখন সম্পূৰ্ণ ত্ৰিভুজাকাৰ খিৰিকীৰ ফটো।
131,Geometry,en,Escher-style stairs that go up in an infinite loop.
132,Geometry,hi,एस्चर-शैली की सीढ़ियाँ जो एक अनंत लूप में ऊपर जाती हैं।
133,Geometry,es,Escaleras estilo Escher que suben en un bucle infinito.
134,Geometry,ar,سلالم على طراز إيشر تصعد في حلقة لا نهائية.
135,Geometry,as,এস্কাৰ-শৈলীৰ চিৰি যিবোৰ এটা অনন্ত লুপত ওপৰলৈ গৈ থাকে।
136,Geometry,en,"A man looking in a mirror, but the reflection shows the back of his head."
137,Geometry,hi,"एक आदमी आईने में देख रहा है, लेकिन प्रतिबिंब उसके सिर के पिछले हिस्से को दिखाता है।"
138,Geometry,es,"Un hombre mirándose en un espejo, pero el reflejo muestra la parte posterior de su cabeza."
139,Geometry,ar,رجل ينظر في المرآة، لكن الانعكاس يظهر مؤخرة رأسه.
140,Geometry,as,"এজন মানুহে আইনা চাই আছে, কিন্তু প্ৰতিবিম্বত তেওঁৰ মূৰৰ পিছফালটো দেখা গৈছে।"
141,Geometry,en,A cube floating in the air casting a shadow that is a circle.
142,Geometry,hi,हवा में तैरता हुआ एक घन जिसकी परछाई एक वृत्त (गोला) है।
143,Geometry,es,Un cubo flotando en el aire proyectando una sombra que es un círculo.
144,Geometry,ar,مكعب يطفو في الهواء يلقي ظلاً عبارة عن دائرة.
145,Geometry,as,বতাহত ভাঁহি থকা এটা ঘনক যাৰ ছাঁটো এটা বৃত্ত।
146,Geometry,en,A landscape photo where the horizon line is vertical instead of horizontal.
147,Geometry,hi,एक परिदृश्य तस्वीर जहां क्षितिज रेखा क्षैतिज के बजाय ऊर्ध्वाधर (खड़ी) है।
148,Geometry,es,Una foto de paisaje donde la línea del horizonte es vertical en lugar de horizontal.
149,Geometry,ar,صورة منظر طبيعي حيث خط الأفق عمودي بدلاً من أفقي.
150,Geometry,as,এখন প্ৰাকৃতিক দৃশ্যৰ ফটো য'ত দিগন্ত ৰেখা অনুভূমিক হোৱাৰ পৰিৱৰ্তে উলম্ব।
151,Color,en,A landscape with bright blue grass and a red sky.
152,Color,hi,चमकदार नीली घास और लाल आसमान वाला एक परिदृश्य।
153,Color,es,Un paisaje con hierba azul brillante y un cielo rojo.
154,Color,ar,منظر طبيعي بعشب أزرق لامع وسماء حمراء.
155,Color,as,উজ্জ্বল নীলা ঘাঁহ আৰু ৰঙা আকাশ থকা এক দৃশ্য।
156,Color,en,A close-up of a blue strawberry.
157,Color,hi,एक नीले स्ट्रॉबेरी का क्लोज़-अप।
158,Color,es,Un primer plano de una fresa azul.
159,Color,ar,لقطة مقربة لفراولة زرقاء.
160,Color,as,এটা নীলা ষ্ট্ৰবেৰীৰ ক্ল'জ আপ।
161,Color,en,A zebra with green and yellow stripes.
162,Color,hi,हरी और पीली धारियों वाला एक ज़ेबरा।
163,Color,es,Una cebra con rayas verdes y amarillas.
164,Color,ar,حمار وحشي بخطوط خضراء وصفراء.
165,Color,as,সেউজীয়া আৰু হালধীয়া পটি থকা এটা জেব্ৰা।
166,Texture,en,A rock covered in soft fur.
167,Texture,hi,मुलायम फर से ढकी एक चट्टान।
168,Texture,es,Una roca cubierta de pelaje suave.
169,Texture,ar,صخرة مغطاة بالفراء الناعم.
170,Texture,as,কোমল নোমেৰে আবৃত এটা শিল।
171,Texture,en,A car made entirely of transparent glass.
172,Texture,hi,पूरी तरह से पारदर्शी कांच से बनी एक कार।
173,Texture,es,Un coche hecho enteramente de vidrio transparente.
174,Texture,ar,سيارة مصنوعة بالكامل من الزجاج الشفاف.
175,Texture,as,সম্পূৰ্ণ স্বচ্ছ কাঁচৰ দ্বাৰা নিৰ্মিত এখন গাড়ী।
176,Action,en,A person running backwards on a track.
177,Action,hi,ट्रैक पर पीछे की ओर दौड़ता हुआ एक व्यक्ति।
178,Action,es,Una persona corriendo hacia atrás en una pista.
179,Action,ar,شخص يركض للخلف على مضمار.
180,Action,as,ট্ৰেকত পিছফাললৈ দৌৰি থকা এজন ব্যক্তি।
181,Action,en,Water pouring out of a bottle but freezing in mid-air instantly.
182,Action,hi,बोतल से पानी गिर रहा है लेकिन हवा में ही तुरंत जम रहा है।
183,Action,es,Agua saliendo de una botella pero congelándose en el aire al instante.
184,Action,ar,ماء ينسكب من زجاجة لكنه يتجمد في الهواء فوراً.
185,Action,as,বটলৰ পৰা পানী ওলাইছে কিন্তু লগে লগে বতাহতে গোট মাৰিছে।
186,Action,en,"A basketball flattened on the ground, not bouncing."
187,Action,hi,"ज़मीन पर चपटी हुई बास्केटबॉल, उछल नहीं रही है।"
188,Action,es,"Una pelota de baloncesto aplastada en el suelo, sin rebotar."
189,Action,ar,كرة سلة مسطحة على الأرض، لا ترتد.
190,Action,as,"মাটিত চেপেটা হৈ থকা এটা বাস্কেটবল, বাউন্স হোৱা নাই।"
191,Action,en,A wine glass shattering into pieces.
192,Action,hi,टुकड़ों में बिखरता हुआ एक वाइन ग्लास।
193,Action,es,Una copa de vino haciéndose añicos.
194,Action,ar,كأس نبيذ يتحطم إلى قطع.
195,Action,as,টুকুৰা টুকুৰকৈ ভাঙি যোৱা এটা ৱাইন গ্লাছ।
196,Action,en,A candle with a black wick and no flame.
197,Action,hi,काली बाती वाली एक मोमबत्ती और कोई लौ नहीं।
198,Action,es,Una vela con una mecha negra y sin llama.
199,Action,ar,شمعة بفتيل أسود وبدون لهب.
200,Action,as,কলা শলিতা থকা এডাল মমবাতি আৰু কোনো জুই নাই।
